排名,名称,链接,星级,评分,评价人数
82,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,772890
83,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,558811
84,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,4.5,8.9,706635
85,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,8.9,497360
86,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,228693
87,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,4.5,8.9,617365
88,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,587142
89,阿凡达,https://movie.douban.com/subject/1652587/,4.5,8.7,1042639
90,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,759663
91,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.8,635926
92,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,877947
93,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,537535
94,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,697167
95,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,480373
96,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,295141
97,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.9,531858
98,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,831551
99,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,583986
100,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.0,333648
101,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,429559
102,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,431228
103,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,4.5,9.0,337295
104,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,437643
105,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,4.5,8.8,496009
106,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.8,632072
107,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.7,833705
108,超脱,https://movie.douban.com/subject/5322596/,4.5,8.9,384894
109,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,490644
110,小森林 冬春篇,https://movie.douban.com/subject/25814707/,4.5,9.0,302660
111,入殓师,https://movie.douban.com/subject/2149806/,4.5,8.9,474383
112,消失的爱人,https://movie.douban.com/subject/21318488/,4.5,8.7,716882
113,一一,https://movie.douban.com/subject/1292434/,4.5,9.0,283080
114,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,4.5,8.8,571141
115,菊次郎的夏天,https://movie.douban.com/subject/1293359/,4.5,8.8,450815
116,功夫,https://movie.douban.com/subject/1291543/,4.5,8.7,799397
117,侧耳倾听,https://movie.douban.com/subject/1297052/,4.5,8.9,367637
118,倩女幽魂,https://movie.douban.com/subject/1297447/,4.5,8.7,584469
119,超能陆战队,https://movie.douban.com/subject/11026735/,4.5,8.7,800251
120,无人知晓,https://movie.douban.com/subject/1292337/,4.5,9.1,229213
121,人生果实,https://movie.douban.com/subject/26874505/,5,9.5,127449
122,甜蜜蜜,https://movie.douban.com/subject/1305164/,4.5,8.9,415649
123,萤火之森,https://movie.douban.com/subject/5989818/,4.5,8.9,407562
124,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,4.5,8.8,435197
125,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,4.5,8.8,410014
126,玛丽和马克思,https://movie.douban.com/subject/3072124/,4.5,8.9,358954
127,完美的世界,https://movie.douban.com/subject/1300992/,4.5,9.1,219183
128,驯龙高手,https://movie.douban.com/subject/2353023/,4.5,8.7,610583
129,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.8,487947
130,幸福终点站,https://movie.douban.com/subject/1292274/,4.5,8.8,435310
131,告白,https://movie.douban.com/subject/4268598/,4.5,8.7,573060
132,大鱼,https://movie.douban.com/subject/1291545/,4.5,8.8,461533
133,阳光姐妹淘,https://movie.douban.com/subject/4917726/,4.5,8.8,495944
134,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,4.5,8.7,518162
135,恐怖直播,https://movie.douban.com/subject/21360417/,4.5,8.8,515401
136,天书奇谭,https://movie.douban.com/subject/1428581/,4.5,9.2,181441
137,怪兽电力公司,https://movie.douban.com/subject/1291579/,4.5,8.7,522326
138,神偷奶爸,https://movie.douban.com/subject/3287562/,4.5,8.6,778281
139,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.7,511508
140,玩具总动员3,https://movie.douban.com/subject/1858711/,4.5,8.8,403313
141,傲慢与偏见,https://movie.douban.com/subject/1418200/,4.5,8.6,620444
142,时空恋旅人,https://movie.douban.com/subject/10577869/,4.5,8.8,461499
143,教父3,https://movie.douban.com/subject/1294240/,4.5,8.9,279549
144,釜山行,https://movie.douban.com/subject/25986180/,4.5,8.6,929743
145,血战钢锯岭,https://movie.douban.com/subject/26325320/,4.5,8.7,640496
146,哪吒闹海,https://movie.douban.com/subject/1307315/,4.5,9.1,199799
147,被解救的姜戈,https://movie.douban.com/subject/6307447/,4.5,8.7,480523
148,七武士,https://movie.douban.com/subject/1295399/,4.5,9.3,151866
149,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,4.5,8.9,324391
150,喜宴,https://movie.douban.com/subject/1303037/,4.5,8.9,270397
151,电锯惊魂,https://movie.douban.com/subject/1417598/,4.5,8.7,410073
152,风之谷,https://movie.douban.com/subject/1291585/,4.5,8.9,301193
153,我是山姆,https://movie.douban.com/subject/1306861/,4.5,8.9,249044
154,头号玩家,https://movie.douban.com/subject/4920389/,4.5,8.6,1112522
155,英雄本色,https://movie.douban.com/subject/1297574/,4.5,8.7,410474
156,上帝之城,https://movie.douban.com/subject/1292208/,4.5,9.0,247668
157,谍影重重3,https://movie.douban.com/subject/1578507/,4.5,8.8,341836
158,疯狂原始人,https://movie.douban.com/subject/1907966/,4.5,8.7,694066
159,未麻的部屋,https://movie.douban.com/subject/1395091/,4.5,9.0,225032
160,三块广告牌,https://movie.douban.com/subject/26611804/,4.5,8.7,664128
161,卢旺达饭店,https://movie.douban.com/subject/1291822/,4.5,8.9,245016
162,纵横四海,https://movie.douban.com/subject/1295409/,4.5,8.8,327788
163,岁月神偷,https://movie.douban.com/subject/3792799/,4.5,8.7,492637
164,花样年华,https://movie.douban.com/subject/1291557/,4.5,8.7,460441
165,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,4.5,8.8,358760
166,心迷宫,https://movie.douban.com/subject/25917973/,4.5,8.7,395232
167,模仿游戏,https://movie.douban.com/subject/10463953/,4.5,8.7,487898
168,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,4.5,8.8,340917
169,新世界,https://movie.douban.com/subject/10437779/,4.5,8.8,284195
170,记忆碎片,https://movie.douban.com/subject/1304447/,4.5,8.6,494758
171,头脑特工队,https://movie.douban.com/subject/10533913/,4.5,8.7,473077
172,荒蛮故事,https://movie.douban.com/subject/24750126/,4.5,8.8,340564
173,你的名字。,https://movie.douban.com/subject/26683290/,4,8.4,1103042
174,忠犬八公物语,https://movie.douban.com/subject/1959195/,4.5,9.2,150803
175,真爱至上,https://movie.douban.com/subject/1292401/,4.5,8.6,586571
176,爆裂鼓手,https://movie.douban.com/subject/25773932/,4.5,8.7,449370
177,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,4.5,8.6,613805
178,萤火虫之墓,https://movie.douban.com/subject/1293318/,4.5,8.7,345403
179,东邪西毒,https://movie.douban.com/subject/1292328/,4.5,8.6,475478
180,海街日记,https://movie.douban.com/subject/25895901/,4.5,8.8,329141
